﻿operator_id;operator_name;szenario_id;verbrauch_mwh;leistung_kw;spannung;arbeitskosten_ht_2025;leistungskosten_2025;grundkosten_2025;messkosten_2025;umlage_17_2025;umlage_19_2025;kwkg_2025;konzessionsabgabe_2025;arbeitskosten_ht_2026;leistungskosten_2026;grundkosten_2026;messkosten_2026;umlage_17_2026;umlage_19_2026;kwkg_2026;konzessionsabgabe_2026
A01;Albstadtwerke GmbH;S1;1000;550;NSP;85700;0;90;14.33;8160;15580;2770;15900;65400;0;90;14.33;9410;15590;4460;15900
A01;Albstadtwerke GmbH;S2;5000;1500;NSP;428500;0;90;14.33;40800;17580;13850;79500;327000;0;90;14.33;47050;17590;22300;79500
A01;Albstadtwerke GmbH;S3;20000;7000;NSP;1714000;0;90;14.33;163200;25080;55400;318000;1308000;0;90;14.33;188200;25090;89200;318000
A01;Albstadtwerke GmbH;S4;50000;25000;NSP;4285000;0;90;14.33;408000;40080;138500;795000;3270000;0;90;14.33;470500;40090;223000;795000
A02;Avacon Netz GmbH;S1;1000;550;MSP;70100;15004;0;442.41;8160;15580;2770;1100;49400;8178.5;0;442.41;9410;15590;4460;1100
A02;Avacon Netz GmbH;S2;5000;1500;MSP;58500;259965;0;442.41;40800;17580;13850;5500;40000;177615;0;442.41;47050;17590;22300;5500
A02;Avacon Netz GmbH;S3;20000;7000;MSP;234000;1213170;0;442.41;163200;25080;55400;22000;160000;828870;0;442.41;188200;25090;89200;22000
A02;Avacon Netz GmbH;S4;50000;25000;MSP;3505000;682000;0;442.41;408000;40080;138500;55000;2470000;371750;0;442.41;470500;40090;223000;55000
A03;AVU Netz GmbH;S1;1000;550;MSP;94900;8547;0;579.5;8160;15580;2770;1100;57200;5142.5;0;579.5;9410;15590;4460;1100
A03;AVU Netz GmbH;S1;1000;550;NSP;98500.01;0;70;14.55;8160;15580;2770;15900;67100;0;70;14.55;9410;15590;4460;15900
A03;AVU Netz GmbH;S2;5000;1500;MSP;46500;344520;0;579.5;40800;17580;13850;5500;28000;207495;0;579.5;47050;17590;22300;5500
A03;AVU Netz GmbH;S2;5000;1500;NSP;492500;0;70;14.55;40800;17580;13850;79500;335500;0;70;14.55;47050;17590;22300;79500
A03;AVU Netz GmbH;S3;20000;7000;MSP;186000;1607760;0;579.5;163200;25080;55400;22000;112000;968310;0;579.5;188200;25090;89200;22000
A03;AVU Netz GmbH;S3;20000;7000;NSP;1970000;0;70;14.55;163200;25080;55400;318000;1342000;0;70;14.55;188200;25090;89200;318000
A03;AVU Netz GmbH;S4;50000;25000;MSP;4745000;388500;0;579.5;408000;40080;138500;55000;2860000;233750;0;579.5;470500;40090;223000;55000
A03;AVU Netz GmbH;S4;50000;25000;NSP;4925000;0;70;14.55;408000;40080;138500;795000;3355000;0;70;14.55;470500;40090;223000;795000
A04;badenovaNetze GmbH;S1;1000;550;MSP;83200;25025;0;548.41;8160;15580;2770;1100;72100;22335.5;0;548.41;9410;15590;4460;1100
A04;badenovaNetze GmbH;S2;5000;1500;MSP;111000;296955;0;548.41;40800;17580;13850;5500;94000;260850;0;548.41;47050;17590;22300;5500
A04;badenovaNetze GmbH;S3;20000;7000;MSP;444000;1385790;0;548.41;163200;25080;55400;22000;376000;1217300;0;548.41;188200;25090;89200;22000
A04;badenovaNetze GmbH;S4;50000;25000;MSP;4160000;1137500;0;548.41;408000;40080;138500;55000;3605000;1015250;0;548.41;470500;40090;223000;55000
A05;Bayernwerk Netz GmbH;S1;1000;550;MSP;70000;13194.5;0;600.88;8160;15580;2770;1100;40100;8723;0;600.88;9410;15590;4460;1100
A05;Bayernwerk Netz GmbH;S1;1000;550;NSP;73500;0;98.55;10.45;8160;15580;2770;15900;47200;0;98.55;10.45;9410;15590;4460;15900
A05;Bayernwerk Netz GmbH;S2;5000;1500;MSP;32500;274185;0;600.88;40800;17580;13850;5500;34000;148755;0;600.88;47050;17590;22300;5500
A05;Bayernwerk Netz GmbH;S2;5000;1500;NSP;367500;0;98.55;10.45;40800;17580;13850;79500;236000;0;98.55;10.45;47050;17590;22300;79500
A05;Bayernwerk Netz GmbH;S3;20000;7000;MSP;130000;1279530;0;600.88;163200;25080;55400;22000;136000;694190;0;600.88;188200;25090;89200;22000
A05;Bayernwerk Netz GmbH;S3;20000;7000;NSP;1470000;0;98.55;10.45;163200;25080;55400;318000;944000;0;98.55;10.45;188200;25090;89200;318000
A05;Bayernwerk Netz GmbH;S4;50000;25000;MSP;3500000;599750;0;600.88;408000;40080;138500;55000;2005000;396500;0;600.88;470500;40090;223000;55000
